,Leader_1,Leader_2,Leader_3,Score_1,Score_2,Score_3
ChinaInfluence,5,10,12,0.038,0.038,0.037
ChinaTaiwan,17,11,8,0.092,0.081,0.079
ClimateEnvironment,11,15,13,0.032,0.029,0.027
Economics,16,6,15,0.061,0.056,0.056
Entertainment,17,10,14,0.133,0.127,0.121
GazaConflict,4,13,7,0.097,0.081,0.071
HealthMedical,3,2,6,0.179,0.174,0.173
Immigration,12,16,3,0.080,0.080,0.079
Iran,12,16,6,0.020,0.017,0.016
OtherConflicts,16,15,13,0.019,0.017,0.015
Politics,3,7,15,0.229,0.188,0.183
Scams,17,14,16,0.112,0.110,0.109
SyriaWar,16,15,4,0.013,0.012,0.012
Technology,10,15,14,0.041,0.040,0.040
UkraineConflict,13,7,12,0.096,0.096,0.093
