,Leader_1,Leader_2,Leader_3,Leader_4,Leader_5,Score_1,Score_2,Score_3,Score_4,Score_5
ChinaInfluence,5,10,12,17,16,0.038,0.038,0.037,0.037,0.037
ChinaTaiwan,17,11,8,12,13,0.092,0.081,0.079,0.077,0.077
ClimateEnvironment,11,15,13,2,3,0.032,0.029,0.027,0.027,0.027
Economics,16,6,15,11,8,0.061,0.056,0.056,0.055,0.055
Entertainment,17,10,14,6,8,0.133,0.127,0.121,0.118,0.116
GazaConflict,4,13,7,0,1,0.097,0.081,0.071,0.070,0.065
HealthMedical,3,2,6,1,0,0.179,0.174,0.173,0.171,0.170
Immigration,12,16,3,6,15,0.080,0.080,0.079,0.079,0.079
Iran,12,16,6,0,7,0.020,0.017,0.016,0.015,0.015
OtherConflicts,16,15,13,12,17,0.019,0.017,0.015,0.014,0.013
Politics,3,7,15,16,11,0.229,0.188,0.183,0.167,0.163
Scams,17,14,16,8,15,0.112,0.110,0.109,0.106,0.106
SyriaWar,16,15,4,7,9,0.013,0.012,0.012,0.012,0.012
Technology,10,15,14,1,5,0.041,0.040,0.040,0.040,0.039
UkraineConflict,13,7,12,9,4,0.096,0.096,0.093,0.088,0.087
